Word		Original_root		Predicted_root
मल्होत्रा		मल्होत्रा		मह्वोततरर
मौजूद		मौजूद		मौजूद
थे		था		था
।		।		।
कहते		कह		कह
हैं		है		है
मोहब्बत		मोहब्बत		मोहब्बत
और		और		और
जंग		जंग		जंग
में		में		में
सब		सब		सब
कुछ		कुछ		कुछ
जायज		जायज		जायज
है		है		है
।		।		।
और		और		और
मामला		मामला		मामला
जब		जब		जब
देश		देश		देश
के		का		का
सबसे		सबसे		सबसा
बड़े		बड़ा		बड़ा
औद्योगिक		औद्योगिक		द््योगिक
साम्राज्य		साम्राज्य		सा््राज्य
का		का		का
हो		हो		हो
तो		तो		तो
यह		यह		यह
देखना		देख		देख
दिलचस्प		दिलचस्प		दिलचस्प
है		है		है
कि		कि		कि
आखिर		आखिर		आखिर
सुलह		सुलह		सुलह
के		के		का
बाद		बाद		बाद
दोनों		दो		दो
अंबानी		अंबानी		अंबानी
भाईयों		भाई		भाईय
के		का		का
हिस्से		हिस्सा		हिस्सा
में		में		में
क्या		क्या		क्
आया		आ		आय
।		।		।
बेशक़		बेशक		बेशश
,		COMMA		UUUUUUUUUUUUUU
माँ		माँ		माँ
कोकिलाबेन		कोकिलाबेन		कोकललाबेन
के		के		का
लिए		लिए		लिए
मुकेश		मुकेश		मुकेश
और		और		और
अनिल		अनिल		अनिल
बराबर		बराबर		बराबर
हैं		है		है
।		।		।
लेकिन		लेकिन		लेकिन
,		COMMA		UUUUUUUUUUUUUU
कम		कम		कम
से		से		से
कम		कम		कम
एक		एक		एक
मामले		मामला		मामला
में		में		में
अनिल		अनिल		अनिल
मुकेश		मुकेश		मुकेश
को		को		को
झुकाने		झुका		झुका
में		में		में
क़ामयाब		कामयाब		शामयाब
रहे		रह		रह
हैं		है		है
।		।		।
यह		यह		यह
वही		वही		वह
आनंद		आनंद		आंंद
जैन		जैन		जैन
हैं		है		है
,		COMMA		UUUUUUUUUUUUUU
जिनकी		जो		जिन
मौजदूगी		मौजदूगी		मौजदूगी
अनिल		अनिल		अनिल
को		को		को
बराबर		बराबर		बराबर
खटकती		खटक		खपकती
रही		रह		रह
और		और		और
इसे		यह		यह
सार्वजनिक		सार्वजनिक		सार्वजनिक
करने		कर		कर
से		से		से
भी		भी		भी
उन्होंने		वह		वह
गुरेज़		गुरेज़		गुरे
नहीं		नहीं		नहीं
किया		कर		कर
।		।		।
इराक		इराक		इराक
के		का		का
फलुजा		फलुजा		फलुजा
स्थित		स्थित		स्थित
संदिग्ध		संदिग्ध		संदिग्ध
आतंकी		आतंकी		आतंकी
ठिकाने		ठिकाना		ठिका
पर		पर		पर
शनिवार		शनिवार		शनिवार
रात		रात		रात
हुए		हो		हो
अमेरिकी		अमेरिकी		अमेरिकी
हवाई		हवाई		हवाई
हमले		हमला		हमला
में		में		में
११		११		११
लोग		लोग		लोग
मारे		मार		मारा
गए		जा		जा
।		।		।
अमेरिकी		अमेरिकी		अमेरिकी
वायु		वायु		वायु
-		-		-
सेना		सेना		सेना
ने		ने		ने
यह		यह		यह
हमला		हमला		हमला
आतंकी		आतंकी		आतंकी
अबू		अबू		अबू
मुसाब		मुसाब		मुसाब
-		-		-
अल		अल		अल
जरकावी		जरकावी		जरकावी
के		का		का
ठिकाने		ठिकाना		ठिका
के		का		का
संदेह		संदेह		संदेह
में		में		में
किया		कर		कर
।		।		।
फलुजा		फलुजा		फलुजा
स्थित		स्थित		स्थित
एक		एक		एक
प्रमुख		प्रमुख		प्रमुख
अस्पताल		अस्पताल		अस्पताल
के		का		का
डॉक्टर		डॉक्टर		डॉक्टर
ने		ने		ने
बताया		बता		बता
कि		कि		कि
इस		यह		यह
हमले		हमला		हमला
में		में		में
११		११		११
लोग		लोग		लोग
मारे		मार		मारा
गए		जा		जा
और		और		और
सात		सात		सात
घायल		घायल		घायल
हो		हो		हो
गए		जा		जा
।		।		।
मृतकों		मृतक		मृतक
में		में		में
एक		एक		एक
महिला		महिला		महिला
भी		भी		भी
शामिल		शामिल		शामिल
है		है		है
।		।		।
फर्जी		फर्जी		फर्जी
पासपोर्ट		पासपोर्ट		पासपोर्ट
मामले		मामला		मामला
में		में		में
भोपाल		भोपाल		भोपाल
की		का		का
एक		एक		एक
स्थानीय		स्थानीय		स्थानीय
अदालत		अदालत		अदालत
ने		ने		ने
मोनिका		मोनिका		मोनिका
बेदी		बेदी		बेदी
के		के		का
खिलाफ		खिलाफ		खिलाफ
प्रोटेक्शन		प्रोटेक्शन		प्रररेक्शन
वारंट		वारंट		वारंट
जारी		जारी		जारी
किया		कर		कर
है		है		है
।		।		।
पुलिस		पुलिस		पुलिस
अधीक्षक		अधीक्षक		अधीक्षक
ए.		ए.		ए.
के.		के.		के.
सिंह		सिंह		सिंह
ने		ने		ने
शुक्रवार		शुक्रवार		शुक्रवार
को		को		को
बताया		बता		बता
कि		कि		कि
फर्जी		फर्जी		फर्जी
पासपोर्ट		पासपोर्ट		पासपोर्ट
मामले		मामला		मामला
में		में		में
अदालत		अदालत		अदालत
द्वारा		द्वारा		द्वारा
मोनिका		मोनिका		मोनिका
बेदी		बेदी		बेदी
को		को		को
पेश		पेश		पेश
किए		कर		कर
जाने		जा		जा
के		का		का
आदेश		आदेश		आदेश
के		के		का
बाद		बाद		बाद
पुलिस		पुलिस		पुलिस
उपाधीक्षक		उपाधीक्षक		उपााीी्षक
के		का		का
नेतृत्व		नेतृत्व		नेतृत्व
में		में		में
एक		एक		एक
टीम		टीम		टीम
हैदराबाद		हैदराबाद		हैरराबाद
रवाना		रवाना		रवान
हो		हो		हो
गई		जा		जा
है		है		है
।		।		।
उन्होंने		वह		वह
कहा		कह		कह
कि		कि		कि
मुख्य		मुख्य		मुख्य
न्यायिक		न्यायिक		न्यायिक
दंडाधिकारी		दंडाधिकारी		दंंाधिकारी
दिनेश		दिनेश		दिनेश
कुमार		कुमार		कुमार
दांगी		दांगी		दाी
ने		ने		ने
२६		२६		२२
नवंबर		नवंबर		नवंबर
को		को		को
मोनिका		मोनिका		मोनिका
को		को		को
अदालत		अदालत		अदालत
में		में		में
पेश		पेश		पेश
करने		कर		कर
का		का		का
आदेश		आदेश		आदेश
दिया		दे		दे
है		है		है
।		।		।
केंद्र		केंद्र		केंद्र
सरकार		सरकार		सरकार
अब		अब		अब
'		SINGLE_QUOTE		UIIIIIIIIIIIII
कैप्टिव		कैप्टिव		कैप्टिव
पॉवर		पॉवर		पॉवर
प्लांट		प्लांट		प्लांट
'		SINGLE_QUOTE		UIIIIIIIIIIIII
लगाने		लगा		लगा
के		का		का
रास्ते		रास्ता		रास्ता
की		का		का
सारी		सारा		सारी
बाधाओं		बाधा		बाधा
को		को		को
खत्म		खत्म		खत्म
करने		कर		कर
जा		जा		जा
रही		रह		रह
है		है		है
।		।		।
बिजली		बिजली		बिजली
की		का		का
अनियमित		अनियमित		अनियमित
आपूर्ति		आपूर्ति		आपूर्ति
से		से		से
तबाह		तबाह		तबाह
हो		हो		हो
रहे		रह		रह
उद्योगों		उद्योग		उद्यगग
को		को		को
बचाने		बचा		बचा
और		और		और
लोगों		लोग		लोग
को		को		को
बिजली		बिजली		बिजली
गुल		गुल		गुल
से		से		से
राहत		राहत		राहत
दिलाने		दिला		दिला
के		के		का
लिए		लिए		लिए
सरकार		सरकार		सरकार
के		के		का
पास		पास		पास
एकमात्र		एकमात्र		एकमात्र
यही		यह		यह
रास्ता		रास्ता		रास्ता
बचा		बच		बचा
है		है		है
।		।		।
इसलिए		इसलिये		इसलिए
सरकार		सरकार		सरकार
अब		अब		अब
'		SINGLE_QUOTE		UIIIIIIIIIIIII
कैप्टिव		कैप्टिव		कैप्टिव
पॉवर		पॉवर		पॉवर
प्लांट		प्लांट		प्लांट
'		SINGLE_QUOTE		UIIIIIIIIIIIII
को		को		को
बढ़ावा		बढ़ावा		बछावा
देने		दे		दे
जा		जा		जा
रही		रह		रह
है		है		है
।		।		।
प्रस्तावित		प्रस्तावित		प््््तावित
नई		नया		न
ऊर्जा		ऊर्जा		घर्जा
नीति		नीति		नीति
में		में		में
'		SINGLE_QUOTE		UIIIIIIIIIIIII
कैप्टिव		कैप्टिव		कैप्टिव
पॉवर		पॉवर		पॉवर
'		SINGLE_QUOTE		UIIIIIIIIIIIII
के		का		का
उत्पादन		उत्पादन		उत्पादन
को		को		को
लाइसेंस		लाइसेंस		लाइसेंस
मुक्त		मुक्त		मुक्त
करने		कर		कर
की		का		का
योजना		योजना		योजना
है		है		है
।		।		।
रक्षा		रक्षा		रक्षा
मंत्री		मंत्री		मंत्री
प्रणब		प्रणब		प्रणब
मुखर्जी		मुखर्जी		मुखर्जी
ने		ने		ने
मंगलवार		मंगलवार		मंगलवार
को		को		को
कहा		कह		कह
कि		कि		कि
जम्मू		जम्मू		जम्मू
-		-		-
कश्मीर		कश्मीर		कश्मीर
में		में		में
सेना		सेना		सेना
में		में		में
कटौती		कटौती		कटौती
करने		कर		कर
के		का		का
फैसले		फैसला		फैसला
की		का		का
समीक्षा		समीक्षा		समीक्षा
का		का		का
विकल्प		विकल्प		विकल्प
खुला		खुल		खुला
हुआ		हो		हो
है		है		है
।		।		।
मुखर्जी		मुखर्जी		मुखर्जी
ने		ने		ने
यहाँ		यहाँ		यहाँ
गणतंत्र		गणतंत्र		ग्तंत्र
दिवस		दिवस		दिवस
शिविर		शिविर		शिविर
में		में		में
नेशनल		नेशनल		नेशनल
कैडेट		कैडेट		कैडेट
कोर		कोर		कोर
(		(		(
एनसीसी		एनसीसी		एनसीसी
)		)		)
के		का		का
एक		एक		एक
समारोह		समारोह		समारोह
के		के		का
बाद		बाद		बाद
पत्रकारों		पत्रकार		पत्रकार
से		से		से
कहा		कह		कह
कि		कि		कि
जम्मू		जम्मू		जम्मू
-		-		-
कश्मीर		कश्मीर		कश्मीर
में		में		में
सेना		सेना		सेना
में		में		में
कमी		कमी		कमी
करने		कर		कर
का		का		का
फैसला		फैसला		फैसला
एक		एक		एक
विशेष		विशेष		विशेष
स्थिति		स्थिति		स्थिति
के		का		का
संदर्भ		संदर्भ		संदर्भ
में		में		में
लिया		ले		लि
गया		जा		जा
था		था		था
।		।		।
यदि		यदि		यदि
घुसपैठ		घुसपैठ		घुसपैठ
में		में		में
इजाफा		इजाफा		इजाफा
होता		हो		हो
है		है		है
या		या		या
स्थिति		स्थिति		स्थिति
बिगड़ती		बिगड		बिगड़
है		है		है
,		COMMA		UUUUUUUUUUUUUU
तो		तो		तो
बेशक़		बेशक		बेशश
इस		यह		यह
फैसले		फैसला		फैसला
की		का		का
समीक्षा		समीक्षा		समीक्षा
की		कर		का
जाएगी		जा		जा
।		।		।
लिब्रहान		लिब्रहान		लिफ्रहान
आयोग		आयोग		आयोग
के		के		का
समक्ष		समक्ष		समक्ष
शुक्रवार		शुक्रवार		शुक्रवार
को		को		को
भाजपा		भाजपा		भाजपा
ने		ने		ने
कहा		कह		कह
कि		कि		कि
वह		वह		वह
अयोध्या		अयोध्या		अयोध्या
में		में		में
विवादित		विवादित		विवादित
ढाँचे		ढाँचा		छाचचा
