Word		Original_feature		Predicted_feature
رکھے		v		v
جانے		v		v
کو		psp		psp
یقینی		adj		adj
بنائیں		v		v
اور		avy		avy
آئندہ		adj		adj
تاریخ		n		n
سماعت		n		n
تک		psp		psp
عدالت		n		n
مےں		psp		psp
مقام		n		n
مذکور		adj		n
کا		psp		psp
معائنہ		n		n
کرتے		v		v
ہوئے		v		v
تفصیلی		adj		adj
رپورٹ		n		n
پیش		nst		nst
کریں		v		v
۔		punc		punc
ڈی		n		n
سی		n		n
پی		n		n
ساؤتھ		n		n
زون		n		n
کی		psp		psp
حیثیت		n		n
سے		psp		psp
مسٹر		avy		avy
ونیت		n		n
برج		n		n
لال		n		n
نے		psp		psp
آج		n		n
شام		n		n
اپنے		pn		pn
عہدے		n		n
کا		psp		psp
جائزہ		n		n
حاصل		n		n
کر		v		v
لیا		v		v
۔		punc		punc
ڈی		n		n
سی		n		n
پی		n		n
ساؤتھ		n		n
زون		n		n
مدھو		n		n
سدھن		n		n
ریڈی		n		n
کی		psp		psp
ترقی		n		n
کے		psp		psp
بعد		nst		nst
وہ		pn		pn
انچارج		n		n
ڈی		n		n
سی		n		n
پی		n		n
کی		psp		psp
حیثیت		n		n
سے		psp		psp
خدمات		n		n
انجام		n		n
دے		v		v
رہے		v		v
تھے		v		v
۔		punc		punc
مسٹر		avy		avy
ونیت		n		n
برج		n		n
لال		n		n
نے		psp		psp
آج		n		n
ان		pn		pn
سے		psp		psp
اپنے		pn		pn
عہدے		n		n
کا		psp		psp
جائزہ		n		n
حاصل		n		n
کر		v		v
لیا		v		v
۔		punc		punc
ونیت		n		n
برج		n		adj
لال		n		n
وئیزاک		n		n
رورل		n		n
کے		psp		n
ایس		n		n
پی		n		n
کی		psp		psp
حیثیت		n		n
سے		psp		psp
خدمات		n		n
انجام		n		n
دے		v		v
رہے		v		v
تھے		v		v
۔		punc		punc
چینائی		n		n
سوپر		n		n
کنگس		n		n
کے		psp		psp
بولرس		n		n
نے		psp		psp
آج		n		n
بہترین		adj		adj
مظاہرہ		n		n
کرتے		v		v
ہوئے		v		v
دکن		n		n
چارجرس		n		n
کے		psp		psp
خلاف		adj		adj
19		num		num
رنز		n		n
سے		psp		psp
کامیابی		n		n
یقینی		adj		adj
بنائی		v		v
۔		punc		punc
سوہال		n		n
نے		psp		psp
24		num		num
گیندوں		n		n
مےں		psp		psp
جاریہ		adj		adj
سیزن		n		n
کی		psp		psp
تیزترین		avy		adj
نصف		adj		adj
سنچری		n		n
بنائی		v		v
لیکن		avy		avy
ان		pn		pn
کے		psp		psp
آوٹ		n		n
ہونے		v		v
کے		psp		psp
بعد		nst		nst
میچ		v		n
چینائی		n		n
سوپر		n		n
کنگس		n		n
کے		psp		psp
حق		n		n
مےں		psp		psp
چلا		v		v
گیا		v		v
۔		punc		punc
مقررہ		adj		adj
20		num		num
اوورس		n		n
مےں		psp		psp
165		num		num
رنز		n		n
بنانے		v		v
کے		psp		psp
بعد		nst		nst
ٹیم		n		n
نے		psp		psp
حریف		adj		adj
دکن		n		n
چارجرس		n		n
کو		psp		psp
146		num		num
/		punc		avy
8		num		n
پر		psp		psp
محدود		adj		adj
کر		v		v
دیا		v		v
۔		punc		punc
سریش		n		n
رائنا		n		n
نے		psp		psp
چینائی		n		n
سوپر		n		n
کنگس		n		n
کے		psp		psp
لئے		psp		psp
59		num		num
رنز		n		n
بنائے		v		v
جبکہ		avy		avy
البی		n		n
مرکل		n		n
نے		psp		psp
3		num		num
وکٹس		n		n
حاصل		n		n
کئے		v		v
۔		punc		punc
کامیابی		n		n
کے		psp		psp
لئے		psp		psp
166		num		num
رنز		n		n
کا		psp		psp
تعاقب		n		n
کرتے		v		v
ہوئے		v		v
دفاعی		adj		adj
چمپئین		n		n
دکن		n		n
چارجرس		n		n
نے		psp		psp
اچھی		adj		adj
شروعات		n		n
کی		v		v
لیکن		avy		avy
بعد		nst		nst
مےں		psp		psp
بیٹسمین		n		n
ناکام		adj		adj
ہو		v		v
۔		punc		punc
اےک		num		num
مرحلہ		n		n
پر		psp		psp
دکن		n		n
چارجرس		n		n
کا		psp		psp
اسکور		n		n
6.4		num		num
اوورس		n		n
مےں		psp		psp
بنا		avy		v
کسی		pn		pn
نقصان		n		n
سے		psp		psp
71		num		num
رنز		n		n
ہو		v		v
گیا		v		v
تھا		v		v
۔		punc		punc
سوہال		n		n
نے		psp		psp
24		num		num
گیندوں		n		n
مےں		psp		psp
جاریہ		adj		adj
سیزن		n		n
کی		psp		psp
تیزترین		avy		adj
نصف		adj		adj
سنچری		n		n
بنائی		v		v
لیکن		avy		avy
ان		pn		pn
کے		psp		psp
آوٹ		n		n
ہونے		v		v
کے		psp		psp
بعد		nst		nst
میچ		v		n
چینائی		n		n
سوپر		n		n
کنگس		n		n
کے		psp		psp
حق		n		n
مےں		psp		psp
چلا		v		v
گیا		v		v
۔		punc		punc
قبل_ازیں		adv		n
سریش		n		n
رائنا		n		n
کی		psp		psp
نصف		adj		adj
سنچری		n		n
اور		avy		avy
مرکل		n		n
کی		psp		psp
بہترین		adj		adj
بالنگ		n		n
نے		psp		psp
ٹیم		n		n
کی		psp		psp
کامیابی		n		n
کو		psp		psp
یقینی		adj		adj
بنایا		v		v
۔		punc		punc
سریش		n		n
رائنا		n		n
نے		psp		psp
فارم		n		n
مےں		psp		psp
واپس		adj		adj
ہوتے		v		v
ہوئے		v		v
6		num		num
چوکوں		n		n
اور		avy		avy
2		num		num
چھکوں		n		n
کی		psp		psp
مدد		n		n
سے		psp		psp
35		num		num
گیندوں		n		n
مےں		psp		psp
59		num		num
رنز		n		n
بنائے		v		v
جبکہ		adv		avy
مرکل		n		n
نے		psp		psp
3		num		num
وکٹس		n		n
حاصل		n		n
کئے		v		v
۔		punc		punc
اس		pn		pn
کے		psp		psp
علاوہ		psp		psp
انہوں		pn		pn
نے		psp		psp
چھ		num		num
گیندوں		n		n
مےں		psp		psp
تین		num		num
چھکوں		n		n
کی		psp		psp
مدد		n		n
سے		psp		psp
19		num		num
رنز		n		n
بنائے		v		v
۔		punc		punc
چینائی		n		n
سوپر		n		n
کنگس		n		n
نے		psp		psp
آخری		adj		adj
پانچ		num		num
اوورس		n		n
مےں		psp		psp
69		num		num
رنز		n		n
بناتے		v		v
ہوئے		v		v
اسکور		n		n
کو		psp		psp
165		num		num
تک		psp		psp
پہنچا		v		v
دیا		v		v
۔		punc		punc
کپتان		n		n
مہیندر		n		n
سنگھ		n		n
دھونی		n		n
نے		psp		psp
21		num		num
رنز		n		n
بنائے		v		v
۔		punc		punc
کرشنا		n		n
چلڈرنس		n		n
ہاسپٹل		n		n
لکڑی		n		n
کا		n		psp
پل		n		n
پر		psp		psp
عالمی		adj		adj
یوم		n		n
دمہ		n		n
کے		psp		psp
موقع		n		n
پر		psp		psp
3		n		n
مئی		n		n
کو		psp		psp
صبح		n		n
8		num		num
بجے		n		n
بچوں		n		n
کے		psp		psp
لئے		psp		psp
مفت		adj		adj
دمہ		n		n
چیک		n		n
اپ		n		pn
کیمپ		n		n
منعقد		adj		adj
کیا		v		v
جائےگا		v		v
۔		punc		punc
رجسٹریشن		n		n
کے		psp		psp
لئے		psp		psp
040		num		num
-		punc		punc
66838383		num		num
پر		psp		psp
کال		n		n
کریں		v		v
۔		punc		punc
برقی		adj		n
شاک		n		n
کی		psp		psp
زد		n		n
مےں		psp		psp
آ		v		v
کر		v		v
اےک		num		num
11		num		num
سالہ		adj		adj
لڑکی		n		n
سجانا		n		n
ہلاک		adj		adj
ہو		v		v
گئی		v		v
NULL		unk		unk
واقعہ		n		n
نریڈ		n		n
میٹ		n		n
پولیس		n		n
اسٹیشن		n		n
حدود		n		n
مےں		psp		psp
کل		n		n
شام		n		n
پیش		nst		nst
آیا		v		v
۔		punc		punc
نریڈمیڈ		n		n
کے		psp		psp
ساکن		adj		adj
وینکٹیش		n		n
کی		psp		psp
لڑکی		n		n
سجاتا		n		v
6		num		num
ویں		avy		pn
جماعت		n		n
مےں		psp		psp
تعلیم		n		n
حاصل		n		n
کر		v		v
رہی		v		v
تھی		v		v
جو		pn		pn
کل		n		n
شام		n		n
اپنے		pn		pn
مکان		n		n
مےں		psp		psp
کام		n		n
کاج		n		n
کے		psp		psp
دوران		nst		nst
برقی		adj		n
شاک		n		n
کی		psp		psp
زد		n		n
مےں		psp		psp
آ		v		v
گئی		v		v
۔		punc		punc
لڑکی		n		n
کو		psp		psp
فوری		adj		adj
طور		n		n
پر		psp		psp
قریبی		adj		adj
ہاسپٹل		n		n
سے		psp		psp
رجوع		n		n
کیا		v		v
گیا		v		v
جہاں		pn		pn
دوران		nst		nst
علاج		n		n
وہ		pn		pn
فوت		n		n
ہو		v		v
گئی		v		v
۔		punc		punc
پولیس		n		n
نریڈ		n		n
میٹ		n		n
نے		psp		psp
مقدمہ		n		n
درج		adj		adj
کر		v		v
لیا		v		v
ہے		v		v
اور		avy		avy
تحقیقات		n		n
جاری		adj		adj
ہےں		v		v
۔		punc		punc
سکریٹری		n		n
پردیش		n		n
کانگریس		n		n
کمیٹی		n		n
مسٹر		avy		avy
سید		n		n
یوسف		n		n
ہاشمی		n		n
نے		psp		psp
صدرنشین		n		n
ریاستی		adj		adj
حج		n		n
کمیٹی		n		n
سے		psp		psp
ملاقات		n		n
کرتے		v		v
ہوئے		v		v
حج		n		n
جیسے		psp		pn
مقدس		adj		adj
فریضہ		n		n
مےں		psp		psp
مسلک		n		n
کی		psp		psp
بنیاد		n		n
پر		psp		psp
کوٹہ		n		n
مختص		adj		adj
کرنے		v		v
کی		psp		psp
تجویز		n		n
پر		psp		psp
سخت		adj		adj
اعتراض		n		n
کیا		v		v
اور		avy		avy
مسلمانوں		n		n
کو		psp		psp
تقسیم		n		n
کرنے		v		v
والا		psp		psp
کوئی		pn		pn
بھی		avy		avy
اقدام		n		n
نہ		avy		avy
کرنے		v		v
کا		psp		psp
مطالبہ		n		n
کیا		v		v
۔		punc		punc
سکریٹری		n		n
پردیش		n		n
کانگریس		n		n
کمیٹی		n		n
نے		psp		psp
آج		n		n
حج_ہاؤس		n		n
پہنچ		v		v
کر		v		v
صدر		n		n
ریاستی		adj		n
حج		n		n
کمیٹی		n		n
مسٹر		avy		avy
خلیل		n		n
الدین		n		n
احمد		n		n
سے		psp		psp
ملاقات		n		n
کی		v		v
اور		avy		avy
حالیہ		n		adj
شیعہ		n		n
برادری		n		n
کے		psp		psp
اجلاس		n		n
مےں		psp		psp
شیعہ		n		n
برادری		n		n
کے		psp		psp
لئے		psp		psp
حج		n		n
کا		psp		psp
علحدہ		adj		adj
کوٹہ		n		n
مختص		adj		adj
کرنے		v		v
کی		psp		psp
تجویز		n		n
وصول		n		n
ہونے		v		v
پر		psp		psp
سخت		adj		adj
اعتراض		n		n
کرتے		v		v
ہوئے		v		v
اس		pn		pn
کی		psp		psp
مذمت		n		n
کی		v		v
اور		avy		avy
اس		pn		pn
کو		psp		psp
ہرگز		avy		adv
قبول		adj		n
نہ		avy		avy
کرنے		v		v
پر		psp		psp
زور		n		n
دیا		v		v
۔		punc		punc
حج		n		n
اےک		num		num
مقدس		adj		adj
فریضہ		n		n
ہے		v		v
،		punc		punc
NULL		unk		unk
خدا		n		n
جس		pn		pn
کو		psp		psp
طلب		n		n
کرتا		v		v
ہے		v		v
وہی		pn		pn
سعادت		n		n
حج		n		n
سے		psp		psp
مستفیض		adj		adj
ہوتا		v		v
ہے		v		v
۔		punc		punc
حج		n		n
کمیٹی		n		n
ہمیشہ		adv		adv
حج		n		n
کا		psp		psp
ارادہ		n		n
کرنے		v		v
والوں		psp		psp
سے		psp		psp
درخواستیں		n		n
وصول		n		n
کرتی		v		v
ہے		v		v
اور		avy		avy
قرعہ_اندازی		n		n
کے		psp		psp
ذریعہ		n		psp
خوش_نصیبوں		n		n
کا		psp		psp
انتخاب		n		n
ہوتا		v		v
ہے		v		v
۔		punc		punc
درخواست		n		n
فارم		n		adj
داخل		adj		n
کرنے		v		v
کے		psp		psp
لئے		psp		psp
مسلمانوں		n		n
کے		psp		psp
تمام		avy		adj
فرقے		n		n
اہل		adj		adj
ہےں		v		v
،		punc		punc
NULL		unk		unk
کسی		pn		pn
پر		psp		psp
کوئی		pn		pn
پابندی		n		n
عائد		adj		adj
نہیں		avy		avy
ہے		v		v
۔		punc		punc
حج		n		n
جیسے		psp		pn
مقدس		adj		adj
فریضہ		n		n
کو		psp		psp
بھی		avy		avy
مسلک		n		n
کی		psp		psp
بنیاد		n		n
پر		psp		psp
تقسیم		n		n
کرنا		v		v
ٹھیک		adj		adj
نہیں		avy		avy
ہے		v		v
۔		punc		punc
مسٹر		avy		avy
یوسف		n		n
ہاشمی		n		n
نے		psp		psp
بتایا		v		v
کہ		avy		avy
صدرنشین		n		n
ریاستی		adj		adj
حج		n		n
کمیٹی		n		n
نے		psp		psp
انھیں		pn		pn
بتایا		v		v
کہ		avy		avy
شیعہ		n		n
برادری		n		n
کے		psp		psp
لئے		psp		psp
حج		n		n
کوٹہ		n		n
مختص		adj		adj
کرنے		v		v
کے		psp		psp
لئے		psp		psp
کوئی		pn		pn
اجلاس		n		n
طلب		n		n
نہیں		avy		avy
کیا		v		v
گیا		v		v
،		punc		punc
NULL		unk		unk
صرف		avy		avy
رباط		n		n
مےں		psp		psp
قیام		n		n
کی		psp		psp
گنجائش		n		n
مےں		psp		psp
اضافہ		n		n
کے		psp		psp
مسئلہ		n		n
پر		psp		psp
غور		n		n
کیا		v		v
گیا		v		v
۔		punc		punc
اجلاس		n		n
مےں		psp		psp
شیعہ		n		n
برادری		n		n
کے		psp		psp
لئے		psp		psp
کوٹہ		n		n
مختص		adj		adj
کرنے		v		v
کا		psp		psp
مطالبہ		n		n
کیا		v		v
گیا		v		v
ہے		v		v
,		punc		punc
لیکن		avy		avy
